time units=S;v(1,2) units=V;v(2,3) units=V;v(3,4) units=V;v(4,5) units=V;v(5,6) units=V;v(6,7) units=V;v(7,8) units=V
2.900000000000004e-11;0.000000000000000e+00;0.000000000000000e+00;-5.441248366073882e-07;-1.871475191319017e-06;-2.226950833042399e-07;-1.052370058297118e-07;-1.255732713508112e-06
2.950000000000004e-11;0.000000000000000e+00;0.000000000000000e+00;-7.012830599611757e-07;-2.412008716590216e-06;-4.067434401692159e-08;-1.922110769090463e-08;-6.427459967596969e-07
3.000000000000004e-11;0.000000000000000e+00;0.000000000000000e+00;-7.348065689795786e-07;-2.527310226891807e-06;8.589091351171109e-09;4.058869388622076e-09;-2.376189374504801e-07
3.050000000000004e-11;0.000000000000000e+00;0.000000000000000e+00;-6.728812377099241e-07;-2.314322850855784e-06;-1.913708468471286e-08;-9.043439408947680e-09;-3.151804205054865e-08
3.100000000000004e-11;0.000000000000000e+00;0.000000000000000e+00;-5.513459020844729e-07;-1.896311486203547e-06;-7.869446764769065e-08;-3.718793440768935e-08;2.587513068693444e-08
3.150000000000003e-11;0.000000000000000e+00;0.000000000000000e+00;1.008618593060607e-05;3.469065455981920e-05;-3.065457524955851e-05;-1.448615598683408e-05;-3.186177506575430e-06
3.200000000000003e-11;0.000000000000000e+00;0.000000000000000e+00;1.304594965716578e-05;4.487053243666881e-05;-3.847249460038351e-05;-1.818059958249861e-05;-5.423554041214501e-06
3.250000000000003e-11;0.000000000000000e+00;0.000000000000000e+00;6.336538514913500e-06;2.179403297125606e-05;-1.804858575425622e-05;-8.529057292407722e-06;-5.463210821498109e-06
3.300000000000003e-11;0.000000000000000e+00;0.000000000000000e+00;6.961238507943157e-06;2.394264016636567e-05;-1.950128986737848e-05;-9.215548565377089e-06;-6.489975342150721e-06
3.350000000000003e-11;0.000000000000000e+00;0.000000000000000e+00;6.208025685270838e-06;2.135202305687331e-05;-1.727948182237633e-05;-8.165608788013183e-06;-6.434055739736557e-06
3.400000000000002e-11;0.000000000000000e+00;0.000000000000000e+00;4.504913982395599e-06;1.549430239142819e-05;-1.262447200212054e-05;-5.965832805880093e-06;-5.465448865824886e-06
3.450000000000002e-11;0.000000000000000e+00;0.000000000000000e+00;2.405395018417153e-06;8.273169683557410e-06;-7.070562720785682e-06;-3.341272017444435e-06;-3.813283566779173e-06
3.500000000000002e-11;0.000000000000000e+00;0.000000000000000e+00;3.901277443396980e-07;1.341814131348064e-06;-1.891653669218853e-06;-8.939217034418815e-07;-1.740629522665476e-06
3.550000000000002e-11;0.000000000000000e+00;0.000000000000000e+00;-1.199665805398077e-06;-4.126157531560994e-06;2.072826681386961e-06;9.795369988261860e-07;4.473096910770728e-07
3.600000000000002e-11;0.000000000000000e+00;0.000000000000000e+00;-2.188690693836499e-06;-7.527831959530252e-06;4.464868545757766e-06;2.109922635952686e-06;2.437537524046683e-06
3.650000000000002e-11;0.000000000000000e+00;0.000000000000000e+00;-2.556247269250947e-06;-8.792014305227038e-06;5.341483200479947e-06;2.524176512421960e-06;3.963818409494119e-06
3.700000000000001e-11;0.000000000000000e+00;0.000000000000000e+00;-2.398360211512576e-06;-8.248974010595248e-06;5.037980494598766e-06;2.380752977630698e-06;4.856905626402164e-06
3.750000000000001e-11;0.000000000000000e+00;0.000000000000000e+00;-1.878073755040665e-06;-6.459489079640516e-06;4.011911018152692e-06;1.895872584797784e-06;5.071936597648789e-06
3.800000000000001e-11;0.000000000000000e+00;0.000000000000000e+00;-1.177218138191726e-06;-4.048950520496828e-06;2.709305623793430e-06;1.280312108804906e-06;4.685294799182216e-06
3.850000000000001e-11;0.000000000000000e+00;0.000000000000000e+00;-4.587326595600463e-07;-1.577775418537306e-06;1.476727993569448e-06;6.978440213515443e-07;3.864344540484700e-06
3.900000000000001e-11;0.000000000000000e+00;0.000000000000000e+00;1.563854104731794e-07;5.378754952806437e-07;5.239918526894923e-07;2.476181011186245e-07;2.821165793042663e-06
3.950000000000001e-11;0.000000000000000e+00;0.000000000000000e+00;5.977166664560225e-07;2.055800135287651e-06;-7.128125721895293e-08;-3.368474045397494e-08;1.764067517304399e-06
4.000000000000000e-11;0.000000000000000e+00;0.000000000000000e+00;8.426068117738959e-07;2.898080804588113e-06;-3.327275360230833e-07;-1.572340490352152e-07;8.586735670854363e-07
4.050000000000000e-11;0.000000000000000e+00;0.000000000000000e+00;9.060355504425437e-07;3.116239033819839e-06;-3.438618749086101e-07;-1.624957030817144e-07;2.055588735745814e-07
4.100000000000000e-11;0.000000000000000e+00;0.000000000000000e+00;8.272400362885702e-07;2.845227971641769e-06;-2.087878922300253e-07;-9.866501004761567e-08;-1.640925099570688e-07
4.150000000000000e-11;0.000000000000000e+00;0.000000000000000e+00;6.563820132686954e-07;2.257575047520193e-06;-2.261500614623856e-08;-1.068696936777981e-08;-2.778539077150664e-07
4.200000000000000e-11;0.000000000000000e+00;0.000000000000000e+00;4.434627580132810e-07;1.525255775992598e-06;1.455536759266959e-07;6.878298709954892e-08;-2.021515997257675e-07
4.250000000000000e-11;0.000000000000000e+00;0.000000000000000e+00;2.306017287927779e-07;7.931367683959207e-07;2.578690759445946e-07;1.218588621079432e-07;-1.946996123651909e-08
4.299999999999999e-11;0.000000000000000e+00;3.970466940254533e-23;4.788400767458180e-08;1.646933321079521e-07;3.042624911974010e-07;1.437825796817309e-07;1.918784194104967e-07
4.349999999999999e-11;0.000000000000000e+00;1.058791184067875e-22;-8.766427536801027e-08;-3.015144788092298e-07;2.941287779869857e-07;1.389937822805605e-07;3.718624199269504e-07
4.399999999999999e-11;0.000000000000000e+00;2.117582368135751e-22;-1.707776120206153e-07;-5.873763567239333e-07;2.467593854903019e-07;1.166088559480968e-07;4.853733158930081e-07
4.449999999999999e-11;0.000000000000000e+00;1.058791184067875e-22;-2.052509516904869e-07;-7.059447359157970e-07;1.831328254399667e-07;8.654142665611026e-08;5.219946207976571e-07
4.499999999999999e-11;0.000000000000000e+00;2.117582368135751e-22;-2.006890524503741e-07;-6.902544371477123e-07;1.204309464119259e-07;5.691096553000034e-08;4.908132871621432e-07
4.549999999999999e-11;0.000000000000000e+00;1.058791184067875e-22;-1.693735549426196e-07;-5.825472112560868e-07;6.952544627707659e-08;3.285501272244964e-08;4.127319457272562e-07
4.599999999999998e-11;0.000000000000000e+00;0.000000000000000e+00;-1.236863129478876e-07;-4.254094843955688e-07;3.489603871824168e-08;1.649050610166346e-08;3.125983214578406e-07
4.649999999999998e-11;0.000000000000000e+00;-1.058791184067875e-22;-7.430340142373525e-08;-2.555607887010057e-07;1.606866238855307e-08;7.593422775181812e-09;2.128530920891547e-07
4.699999999999998e-11;0.000000000000000e+00;-1.058791184067875e-22;-2.918933222426078e-08;-1.003944452322309e-07;9.644014732238901e-09;4.557385010628648e-09;1.295822503351367e-07
4.749999999999998e-11;0.000000000000000e+00;-6.617444900424221e-23;6.708654557670782e-09;2.307389725099490e-08;1.119996873595930e-08;5.292668152675022e-09;7.108611529684262e-08
4.799999999999998e-11;0.000000000000000e+00;-4.632211430296955e-23;3.123894799701598e-08;1.074439397836392e-07;1.665932168200575e-08;7.872545306932789e-09;3.850630053694228e-08
4.849999999999997e-11;0.000000000000000e+00;-2.646977960169689e-23;4.449253817307565e-08;1.530286356874421e-07;2.300608533591629e-08;1.087177813125359e-08;2.775118551883368e-08
4.899999999999997e-11;0.000000000000000e+00;1.323488980084844e-23;4.810120850314174e-08;1.654403775192692e-07;2.844277329210594e-08;1.344094469588821e-08;3.191516952275815e-08
4.949999999999997e-11;0.000000000000000e+00;2.646977960169689e-23;4.453364021243946e-08;1.531700029650573e-07;3.218627808656847e-08;1.520997897378693e-08;4.352963248434546e-08
4.999999999999997e-11;0.000000000000000e+00;5.293955920339377e-23;3.664904117141902e-08;1.260515358253726e-07;3.430621644939952e-08;1.621177911495040e-08;5.679436168126547e-08
5.049999999999997e-11;2.504000000000020e-04;1.444678896032622e-05;7.051667624011485e-06;2.425366410041354e-05;1.432411429198543e-06;6.769017424565498e-07;2.045190102304659e-07
5.099999999999997e-11;2.504000000000068e-04;4.461402921584598e-05;1.214144555169432e-05;4.175956068909684e-05;2.714292269574656e-06;1.282668603000374e-06;3.800408255975139e-07
5.149999999999996e-11;0.000000000000000e+00;7.232641673593924e-05;1.226077147432152e-05;4.216997294903361e-05;3.381753968046363e-06;1.598084954412132e-06;5.600050483379755e-07
5.199999999999996e-11;3.523657060577889e-19;8.445026041455978e-05;1.451711177418326e-05;4.993048048383620e-05;4.562631939786737e-06;2.156121800813761e-06;8.185067661757173e-07
5.249999999999996e-11;1.626303258728257e-19;8.378094896037659e-05;1.494646607439389e-05;5.140721131299750e-05;5.473654901086525e-06;2.586635700208487e-06;1.080282406069017e-06
5.299999999999996e-11;1.084202172485504e-19;7.339698186229447e-05;1.414242003995228e-05;4.864175731255415e-05;6.092977754675662e-06;2.879303512118212e-06;1.320168019065006e-06
5.349999999999996e-11;1.355252715606881e-19;5.743532577419074e-05;1.275995737729149e-05;4.388688416207154e-05;6.400803594980577e-06;3.024769991530527e-06;1.501411012653424e-06
5.399999999999996e-11;1.355252715606881e-19;3.946633361983958e-05;1.128219753041786e-05;3.880424373456303e-05;6.397158763306631e-06;3.023047586318645e-06;1.591105207517971e-06
5.449999999999995e-11;1.490777987167569e-19;2.212624289190572e-05;1.000721091817051e-05;3.441902612721634e-05;6.120046523557375e-06;2.892095155949323e-06;1.570028674683385e-06
5.499999999999995e-11;-1.490777987167569e-19;7.092505907141509e-06;9.080013670945291e-06;3.123000307790898e-05;5.644752494722387e-06;2.667489745981641e-06;1.437076347197045e-06
5.549999999999995e-11;8.131516293641283e-20;-4.750112056895528e-06;8.541040399818838e-06;2.937624629667802e-05;5.070067775529259e-06;2.395916174411754e-06;1.209216571956489e-06
5.599999999999995e-11;5.421010862427522e-20;-1.309805594605327e-05;8.372607923453175e-06;2.879693585222830e-05;4.499410273612042e-06;2.126245708566668e-06;9.179395660548173e-07
5.649999999999995e-11;7.792703114739563e-20;-1.805005343368384e-05;8.535298608489158e-06;2.935649785054136e-05;4.023912189249952e-06;1.901543869920034e-06;6.033660663260225e-07
5.699999999999995e-11;5.421010862427522e-20;-1.997727311106745e-05;8.992948760174236e-06;3.093055006716567e-05;3.711806909684150e-06;1.754055094515441e-06;3.073907376120224e-07
5.749999999999994e-11;8.131516293641283e-20;-1.942857006805574e-05;9.728176556017106e-06;3.345930907119810e-05;3.605436331405824e-06;1.703788510268014e-06;6.727821777943828e-08
5.799999999999994e-11;4.743384504624082e-20;-1.705230363996784e-05;1.075145146054753e-05;3.697878377422511e-05;3.724932609211383e-06;1.760257787889403e-06;-8.908112574349731e-08
5.849999999999994e-11;-1.151964808265848e-19;-1.352439129885177e-05;1.210670768602555e-05;4.164008249324175e-05;4.076456949840655e-06;1.926374473247817e-06;-1.454898221266935e-07
5.899999999999994e-11;1.084202172485504e-19;-9.482196961209754e-06;1.387603846813190e-05;4.772555854795686e-05;4.662673460358409e-06;2.203397519376662e-06;-9.712831865671090e-08
5.949999999999994e-11;1.761828530288945e-19;-5.469786257153661e-06;1.618520185382143e-05;5.566774699126606e-05;5.493536030966497e-06;2.596030746340907e-06;5.207021612179895e-08
5.999999999999993e-11;1.124859753953711e-18;-1.802379774732665e-06;1.908487376172783e-05;6.564094371657373e-05;6.554258409630549e-06;3.097286748453633e-06;2.834733079310236e-07
6.049999999999993e-11;2.504000000000004e-04;1.550142354084857e-05;3.026714584892562e-05;1.041015016360720e-04;9.423771901570527e-06;4.453306843729988e-06;7.581430739034901e-07
6.099999999999993e-11;2.503999999999896e-04;4.811056131078935e-05;4.102155520125395e-05;1.410904588497672e-04;1.260274403282470e-05;5.955565015512080e-06;1.339557267963661e-06
6.149999999999993e-11;-2.504000000000008e-04;6.393921730156167e-05;4.309326683267774e-05;1.482159503931204e-04;1.469808999073146e-05;6.945743745620079e-06;1.929378234916705e-06
6.199999999999993e-11;-2.503999999999795e-04;5.043637750865645e-05;5.179470150886104e-05;1.781438603685164e-04;1.823860202110666e-05;8.618851564852346e-06;2.688998842655005e-06
6.249999999999993e-11;0.000000000000000e+00;2.264383975889516e-05;6.389208815105787e-05;2.197518838541417e-04;2.289806002753131e-05;1.082072958618086e-05;3.630350753547971e-06
6.299999999999992e-11;1.084202172485504e-19;1.514804199919751e-07;6.921751882851010e-05;2.380682898062831e-04;2.671642865989421e-05;1.262514159232809e-05;4.563528651645077e-06
6.349999999999992e-11;3.252606517456513e-19;-1.674070513325062e-05;6.898325709332699e-05;2.372625647296542e-04;2.967539575823733e-05;1.402343397111822e-05;5.437893606586870e-06
6.399999999999992e-11;5.421010862427522e-20;-2.785225348265097e-05;6.076784964218271e-05;2.090063077147012e-04;3.098029339178114e-05;1.464007766989655e-05;6.106719263681532e-06
6.449999999999992e-11;5.421010862427522e-20;-3.365674547015134e-05;4.542598991937220e-05;1.562391706015313e-04;3.028757735474914e-05;1.431272710361617e-05;6.426959205457197e-06
6.499999999999992e-11;-1.084202172485504e-19;-3.488854273896267e-05;2.662711268011224e-05;9.158188975162419e-05;2.778055700206499e-05;1.312800711987827e-05;6.291875605648589e-06
6.549999999999992e-11;6.098637220230962e-20;-3.246951319015269e-05;8.497166800146906e-06;2.922534645198150e-05;2.391911837991206e-05;1.130324191733659e-05;5.648911558240933e-06
6.599999999999991e-11;8.300922883092143e-20;-2.744217316449644e-05;-6.212975705511995e-06;-2.136904826773515e-05;1.920554535696188e-05;9.075791251003561e-06;4.513160021243896e-06
6.649999999999991e-11;4.743384504624082e-20;-2.088346317202384e-05;-1.637383889515413e-05;-5.631654947052726e-05;1.410953381567781e-05;6.667615065335698e-06;2.971262823288970e-06
6.699999999999991e-11;8.131516293641283e-20;-1.380486073982969e-05;-2.191067792796666e-05;-7.536007807114255e-05;9.060314015708507e-06;4.281550830593914e-06;1.167804364168314e-06
6.749999999999991e-11;5.421010862427522e-20;-7.059628240490081e-06;-2.329742132784299e-05;-8.012967448540670e-05;4.423540982036750e-06;2.090392842121038e-06;-7.222923841883845e-07
6.799999999999991e-11;2.981555974335137e-19;-1.277517156860896e-06;-2.132576850078013e-05;-7.3348327414241945e-05;4.670203472152007e-07;2.206955909096801e-07;-2.524534051448201e-06
6.849999999999991e-11;5.421010862427522e-20;3.162216395075844e-06;-1.700586154037300e-05;-5.849034236014063e-05;-2.656702731488737e-06;-1.255454034697498e-06;-4.090056059245707e-06
6.899999999999990e-11;8.131516293641283e-20;6.119855704959351e-06;-1.145220256560801e-05;-3.938896287317476e-05;-4.901207152278213e-06;-2.316119233545944e-06;-5.311447286418081e-06
6.949999999999990e-11;5.421010862427522e-20;7.655060794105715e-06;-5.725283446306658e-06;-1.969166855135816e-05;-6.300363837815200e-06;-2.977306081894434e-06;-6.129075589927326e-06
6.999999999999990e-11;8.300922883092143e-20;7.970175490855168e-06;-6.790437626548563e-07;-2.335518377643908e-06;-6.941060193152714e-06;-3.280074176642311e-06;-6.529690854532649e-06
7.049999999999990e-11;5.082197683525802e-20;7.349630332703736e-06;3.133188541047502e-06;1.077635908122902e-05;-6.943258626017931e-06;-3.281113070221820e-06;-6.539704843395322e-06
7.099999999999990e-11;-3.655794200349560e-18;6.135907970085451e-06;5.654746650738189e-06;1.944906271148523e-05;-6.485671218841353e-06;-3.064875118661080e-06;-6.245306049831229e-06
7.149999999999990e-11;-2.504000000000010e-04;-1.000729528256665e-05;-5.942758197869978e-07;-2.043965609927933e-06;-6.993032916081806e-06;-3.304634457294710e-06;-5.768272273095306e-06
