time units=S;Vdummy#branch units=A
2.654999999999992e-10;0.000000000000000e+00
2.659999999999992e-10;0.000000000000000e+00
2.664999999999992e-10;0.000000000000000e+00
2.669999999999992e-10;0.000000000000000e+00
2.674999999999992e-10;0.000000000000000e+00
2.679999999999992e-10;0.000000000000000e+00
2.684999999999992e-10;0.000000000000000e+00
2.689999999999992e-10;0.000000000000000e+00
2.694999999999992e-10;0.000000000000000e+00
2.699999999999992e-10;0.000000000000000e+00
2.704999999999992e-10;0.000000000000000e+00
2.709999999999992e-10;0.000000000000000e+00
2.714999999999992e-10;0.000000000000000e+00
2.719999999999992e-10;0.000000000000000e+00
2.724999999999992e-10;0.000000000000000e+00
2.729999999999992e-10;0.000000000000000e+00
2.734999999999992e-10;0.000000000000000e+00
2.739999999999992e-10;0.000000000000000e+00
2.744999999999992e-10;0.000000000000000e+00
2.749999999999992e-10;0.000000000000000e+00
2.754999999999992e-10;0.000000000000000e+00
2.759999999999992e-10;0.000000000000000e+00
2.764999999999992e-10;0.000000000000000e+00
2.769999999999992e-10;0.000000000000000e+00
2.774999999999992e-10;0.000000000000000e+00
2.779999999999992e-10;0.000000000000000e+00
2.784999999999992e-10;0.000000000000000e+00
2.789999999999992e-10;0.000000000000000e+00
2.794999999999992e-10;0.000000000000000e+00
2.799999999999992e-10;0.000000000000000e+00
2.804999999999992e-10;0.000000000000000e+00
2.809999999999992e-10;0.000000000000000e+00
2.814999999999992e-10;0.000000000000000e+00
2.819999999999992e-10;0.000000000000000e+00
2.824999999999992e-10;0.000000000000000e+00
2.829999999999992e-10;0.000000000000000e+00
2.834999999999992e-10;0.000000000000000e+00
2.839999999999992e-10;0.000000000000000e+00
2.844999999999992e-10;0.000000000000000e+00
2.849999999999992e-10;0.000000000000000e+00
2.854999999999992e-10;0.000000000000000e+00
2.859999999999992e-10;0.000000000000000e+00
2.864999999999992e-10;0.000000000000000e+00
2.869999999999992e-10;0.000000000000000e+00
2.874999999999992e-10;0.000000000000000e+00
2.879999999999992e-10;0.000000000000000e+00
2.884999999999992e-10;0.000000000000000e+00
2.889999999999992e-10;0.000000000000000e+00
2.894999999999992e-10;0.000000000000000e+00
2.899999999999992e-10;0.000000000000000e+00
2.904999999999992e-10;0.000000000000000e+00
2.909999999999992e-10;0.000000000000000e+00
2.914999999999991e-10;0.000000000000000e+00
2.919999999999991e-10;0.000000000000000e+00
2.924999999999991e-10;0.000000000000000e+00
2.929999999999991e-10;0.000000000000000e+00
2.934999999999991e-10;0.000000000000000e+00
2.939999999999991e-10;0.000000000000000e+00
2.944999999999991e-10;0.000000000000000e+00
2.949999999999991e-10;0.000000000000000e+00
2.954999999999991e-10;0.000000000000000e+00
2.959999999999991e-10;0.000000000000000e+00
2.964999999999991e-10;0.000000000000000e+00
