time units=S;v(100) units=V;v(101) units=V;v(102) units=V;v(103) units=V;v(104) units=V
5.999999999999993e-11;5.753038022765168e-01;2.696041339394830e+00;6.551167263125407e-01;2.736907743141576e-05;5.657664698434024e-01
6.049999999999993e-11;5.862521118346742e-01;2.877059397877743e+00;6.695692431337623e-01;-1.535997379574764e-04;5.704459291328796e-01
6.099999999999993e-11;6.294925757697611e-01;3.114385387296236e+00;6.869642083397536e-01;-2.825723625294625e-04;5.757446439309848e-01
6.149999999999993e-11;7.208392245611606e-01;3.456096635719243e+00;7.102975652004951e-01;-3.359669376098391e-04;5.823437630118262e-01
6.199999999999993e-11;8.120240019440071e-01;3.862482536276252e+00;7.388568087882142e-01;-3.416969472872337e-04;5.901544445732756e-01
6.249999999999993e-11;8.628077517885975e-01;4.346409732601686e+00;7.765329006703123e-01;-2.948303896060877e-04;6.001736336378891e-01
6.299999999999992e-11;8.782102029456442e-01;4.883109527490077e+00;8.233364194613593e-01;-2.230375321300152e-04;6.124957565853559e-01
6.349999999999992e-11;8.656107912581379e-01;5.445094756319110e+00;8.801052655069175e-01;-1.393825173863822e-04;6.274597226600256e-01
6.399999999999992e-11;8.317386710830187e-01;5.985658777148654e+00;9.474497160321567e-01;-5.597482718109530e-05;6.454546801720035e-01
6.449999999999992e-11;7.850162981489540e-01;6.447994163199192e+00;1.024145168670850e+00;1.637526083267350e-05;6.665186780959984e-01
6.499999999999992e-11;7.329485720576652e-01;6.790528698264830e+00;1.107379463410532e+00;7.067598384927742e-05;6.903597825250096e-01
6.549999999999992e-11;6.817822922219143e-01;6.999231170168491e+00;1.193024781846223e+00;1.038248037053485e-04;7.163346931762309e-01
6.599999999999991e-11;6.362720797700816e-01;7.084850497642071e+00;1.276330911136055e+00;1.161569533467576e-04;7.435106789125950e-01
6.649999999999991e-11;5.995625873593444e-01;7.072618775745608e+00;1.352756623968791e+00;1.106454962156617e-04;7.707902488718841e-01
6.699999999999991e-11;5.732120778139308e-01;6.992991500546170e+00;1.418638857008218e+00;9.193376151681227e-05;7.970590349618192e-01
6.749999999999991e-11;5.573623283503182e-01;6.876072558324038e+00;1.471558823327884e+00;6.536306504327164e-05;8.213211738721085e-01
6.799999999999991e-11;5.510285867126850e-01;6.748505286461723e+00;1.510428558469766e+00;3.612340106679055e-05;8.428000824433658e-01
6.849999999999991e-11;5.524596248867439e-01;6.631412545998835e+00;1.535392136869382e+00;8.610683378813248e-06;8.609954940382037e-01
6.899999999999990e-11;5.595099713808387e-01;6.539030041136508e+00;1.547626128860359e+00;-1.397117752430590e-05;8.756971708290391e-01
6.949999999999990e-11;5.699733173390569e-01;6.478294782023474e+00;1.549088324573375e+00;-2.976538894302767e-05;8.869622735064923e-01
6.999999999999990e-11;5.818423537329258e-01;6.449553225157236e+00;1.542239074357814e+00;-3.820779191580852e-05;8.950672409542247e-01
7.049999999999990e-11;5.934795160922559e-01;6.448169095080100e+00;1.529753204776843e+00;-3.981598477438258e-05;9.004461098337287e-01
7.099999999999990e-11;6.039933557824239e-01;6.465458323950799e+00;1.514251997396930e+00;-3.630050210494157e-05;9.038118880812229e-01
7.149999999999990e-11;6.007825880858212e-01;6.487519031840352e+00;1.497631819497095e+00;-2.803222573672452e-05;9.051157538709679e-01
7.199999999999989e-11;5.662257566357894e-01;6.487764734920485e+00;1.481390901668836e+00;-1.824165594127226e-05;9.054397599517340e-01
7.249999999999989e-11;4.727482331202618e-01;6.440365673711556e+00;1.466010147749006e+00;-8.250519169520997e-06;9.047463163882230e-01
7.299999999999989e-11;3.496487858402795e-01;6.367789810589878e+00;1.451089758627672e+00;4.506168367922884e-07;9.034725303461032e-01
7.349999999999989e-11;2.161497290781496e-01;6.285435280638513e+00;1.436157215509319e+00;7.204960143493446e-06;9.016988551035362e-01
7.399999999999989e-11;8.948575665688062e-02;6.206713900061672e+00;1.420728591654980e+00;1.153489111106927e-05;8.994359374518127e-01
7.449999999999988e-11;-1.622208407043642e-02;6.142186108564651e+00;1.404537506622783e+00;1.340974027845024e-05;8.966969410292012e-01
7.499999999999988e-11;-9.290257363858606e-02;6.097314207230901e+00;1.387713427645960e+00;1.312538360876989e-05;8.934998131844843e-01
